epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,515.056,1.88269,2.33085,1.7494,0.41571,0.41784,0.36338,0.16115,1.83586,1.84216,1.76643,0.00332621,0.00332621,0.00332621
2,1471.46,1.72231,1.73493,1.56872,0.48188,0.42995,0.41801,0.18845,1.7933,1.85245,1.66578,0.00659361,0.00659361,0.00659361
3,2718.97,1.73314,1.73285,1.57248,0.43208,0.44537,0.4125,0.18655,1.8277,1.89258,1.73123,0.00979502,0.00979502,0.00979502
4,3951.35,1.76842,1.77016,1.60016,0.45251,0.45881,0.41103,0.18549,1.83279,1.7792,1.69816,0.009703,0.009703,0.009703
5,5156.71,1.74487,1.70502,1.58487,0.47448,0.4862,0.45479,0.21456,1.80744,1.80896,1.68003,0.009604,0.009604,0.009604
6,6258.81,1.72668,1.63651,1.56478,0.4625,0.50257,0.45508,0.21341,1.80789,1.69906,1.6908,0.009505,0.009505,0.009505
7,7370.85,1.69863,1.56616,1.54048,0.52453,0.52863,0.51068,0.24483,1.71709,1.5905,1.6133,0.009406,0.009406,0.009406
8,8368.5,1.68178,1.52579,1.53959,0.56497,0.55336,0.55799,0.27305,1.71094,1.46059,1.62009,0.009307,0.009307,0.009307
9,9513.24,1.66983,1.50522,1.52575,0.60818,0.56188,0.58887,0.28959,1.68823,1.43513,1.58887,0.009208,0.009208,0.009208
10,10381,1.63649,1.43147,1.50986,0.61828,0.55851,0.57756,0.28559,1.69314,1.4148,1.63354,0.009109,0.009109,0.009109
11,11150.5,1.64004,1.43107,1.50923,0.54136,0.58752,0.58337,0.28968,1.68732,1.40892,1.60567,0.00901,0.00901,0.00901
12,12080,1.62308,1.39195,1.49316,0.59584,0.5942,0.61208,0.30566,1.66103,1.35756,1.57823,0.008911,0.008911,0.008911
13,13291,1.61755,1.37297,1.48772,0.61311,0.59164,0.61732,0.31321,1.66862,1.34399,1.59374,0.008812,0.008812,0.008812
14,14202.1,1.5921,1.33793,1.47297,0.64818,0.60314,0.63286,0.32438,1.64225,1.29497,1.55575,0.008713,0.008713,0.008713
15,15067.3,1.58605,1.30503,1.46175,0.64604,0.6242,0.64178,0.32216,1.66129,1.27095,1.5711,0.008614,0.008614,0.008614
16,16175.5,1.57652,1.29426,1.46438,0.66205,0.62808,0.65762,0.33258,1.65473,1.24821,1.56414,0.008515,0.008515,0.008515
17,17624.4,1.58461,1.29533,1.46167,0.64912,0.63595,0.65295,0.32534,1.65177,1.27326,1.58177,0.008416,0.008416,0.008416
18,18632.8,1.55734,1.26436,1.45038,0.64883,0.63308,0.64927,0.32585,1.63392,1.25976,1.5595,0.008317,0.008317,0.008317
19,19724.5,1.55683,1.25005,1.44373,0.65134,0.62498,0.657,0.3334,1.63855,1.22241,1.55673,0.008218,0.008218,0.008218
20,20782.6,1.5466,1.23094,1.44569,0.67301,0.64859,0.6752,0.34642,1.62234,1.20561,1.53922,0.008119,0.008119,0.008119
21,21796.7,1.54283,1.21811,1.44067,0.68412,0.61142,0.6698,0.34518,1.60931,1.21777,1.54359,0.00802,0.00802,0.00802
22,22920.2,1.53838,1.19856,1.43396,0.68687,0.65305,0.69015,0.35409,1.63053,1.18572,1.53975,0.007921,0.007921,0.007921
23,23908.9,1.52621,1.17844,1.42527,0.68142,0.65935,0.68732,0.35898,1.60832,1.16796,1.53057,0.007822,0.007822,0.007822
24,24906.9,1.52363,1.1698,1.41886,0.67944,0.65734,0.69088,0.3576,1.60418,1.16893,1.53187,0.007723,0.007723,0.007723
25,25890.4,1.51662,1.15745,1.41217,0.66289,0.67573,0.69088,0.35767,1.6089,1.14823,1.52536,0.007624,0.007624,0.007624
26,26798.9,1.51302,1.14657,1.41342,0.69498,0.65354,0.69499,0.36219,1.606,1.1504,1.53765,0.007525,0.007525,0.007525
27,27763.9,1.51349,1.13709,1.4127,0.68893,0.67835,0.70506,0.3665,1.61097,1.1375,1.52693,0.007426,0.007426,0.007426
28,28509.2,1.49914,1.13716,1.39975,0.70754,0.66108,0.70798,0.36967,1.60653,1.1199,1.52203,0.007327,0.007327,0.007327
